Spread,Trade,Open,High,Low,Close
1*CLX20-1*CLZ20-1*CLV20+1*CLX20,Long,0.03,0.06,-0.03,-0.01
1*CLX19-1*CLZ19-1*CLV19+1*CLX19,Long,0.05,0.16,0.01,0.1
1*CLX18-1*CLZ18-1*CLV18+1*CLX18,Long,-0.11,0.02,-0.19,-0.04
1*CLX17-1*CLZ17-1*CLV17+1*CLX17,Long,-0.02,0.15,-0.04,0.15
1*CLX16-1*CLZ16-1*CLV16+1*CLX16,Long,0.05,0.07,0,0
1*HOM24 - 1*HON24 - 1*HOU24 + 1*HOV24,,,,,
Spread,Trade,Open,High,Low,Close
1*HOM24-1*HON24-1*HOU24+1*HOV24,Short,0.0033,0.0086,-0.0018,-0.0002
1*HOM23-1*HON23-1*HOU23+1*HOV23,Short,-0.0078,0.0198,-0.0115,0.0106
1*HOM22-1*HON22-1*HOU22+1*HOV22,Short,0.0024,0.0032,0.0001,0.0027
1*HOM21-1*HON21-1*HOU21+1*HOV21,Short,-0.0026,-0.0015,-0.0034,-0.0031
1*HOM20-1*HON20-1*HOU20+1*HOV20,Short,0.0012,0.0016,-0.0006,0.0011
1*HOM19-1*HON19-1*HOU19+1*HOV19,Short,0.0006,0.005,-0.0015,0.005
1*HOM18-1*HON18-1*HOU18+1*HOV18,Short,0.0004,0.0047,0.0004,0.0028
1*HOM17-1*HON17-1*HOU17+1*HOV17,Short,0.0026,0.004,0.002,0.0033
1*HOM16-1*HON16-1*HOU16+1*HOV16,Short,0.0017,0.0044,-0.0004,0.003
1*HOM25 - 1*HON25 - 1*HOU25 + 1*HOV25,,,,,
Spread,Trade,Open,High,Low,Close
1*HOM25-1*HON25-1*HOU25+1*HOV25,Short,0.0031,0.0042,0.0004,0.0006
1*HOM24-1*HON24-1*HOU24+1*HOV24,Short,0.0033,0.0086,-0.0018,-0.0002
1*HOM23-1*HON23-1*HOU23+1*HOV23,Short,-0.0078,0.0198,-0.0115,0.0106
1*HOM22-1*HON22-1*HOU22+1*HOV22,Short,0.0024,0.0032,0.0001,0.0027
1*HOM21-1*HON21-1*HOU21+1*HOV21,Short,-0.0026,-0.0015,-0.0034,-0.0031
1*HOM20-1*HON20-1*HOU20+1*HOV20,Short,0.0012,0.0016,-0.0006,0.0011
1*HOM19-1*HON19-1*HOU19+1*HOV19,Short,0.0006,0.005,-0.0015,0.005
1*HOM18-1*HON18-1*HOU18+1*HOV18,Short,0.0004,0.0047,0.0004,0.0028
1*HOM17-1*HON17-1*HOU17+1*HOV17,Short,0.0026,0.004,0.002,0.0033
1*KCH25 - 1*KCK25 - 1*KCH24 + 1*KCK24,,,,,
Spread,Trade,Open,High,Low,Close
1*KCH25-1*KCK25-1*KCH24+1*KCK24,Long,0.3,0.45,-0.25,-0.15
1*KCH24-1*KCK24-1*KCH23+1*KCK23,Long,-0.2,0,-2.5,-1.9
1*KCH23-1*KCK23-1*KCH22+1*KCK22,Long,0.5,0.75,0.1,0.7
1*KCH22-1*KCK22-1*KCH21+1*KCK21,Long,-0.05,0.55,-0.1,0.55
1*KCH21-1*KCK21-1*KCH20+1*KCK20,Long,0.05,0.55,0.05,0.3
1*KCH20-1*KCK20-1*KCH19+1*KCK19,Long,0.5,0.5,0.2,0.3
1*KCH19-1*KCK19-1*KCH18+1*KCK18,Long,0.7,0.8,0.15,0.35
1*KCH18-1*KCK18-1*KCH17+1*KCK17,Long,0.7,0.85,0.5,0.75
1*KCH17-1*KCK17-1*KCH16+1*KCK16,Long,0.65,0.8,0.2,0.2
1*KCN24 - 1*KCU24 - 1*KCH25 + 1*KCK25,,,,,
Spread,Trade,Open,High,Low,Close
1*KCN24-1*KCU24-1*KCH25+1*KCK25,Short,-0.35,0.65,-0.5,0.65
1*KCN23-1*KCU23-1*KCH24+1*KCK24,Short,0.05,1.7,-0.3,0.55
1*KCN22-1*KCU22-1*KCH23+1*KCK23,Short,-0.05,0.4,-0.35,-0.15
1*KCN21-1*KCU21-1*KCH22+1*KCK22,Short,-0.05,0.3,-0.3,-0.3
1*KCN20-1*KCU20-1*KCH21+1*KCK21,Short,0.2,0.2,-0.15,0
1*KCN19-1*KCU19-1*KCH20+1*KCK20,Short,-0.4,-0.2,-0.45,-0.35
1*KCN18-1*KCU18-1*KCH19+1*KCK19,Short,-0.45,-0.15,-0.55,-0.35
1*KCN17-1*KCU17-1*KCH18+1*KCK18,Short,-0.35,-0.2,-0.5,-0.3
1*KCN16-1*KCU16-1*KCH17+1*KCK17,Short,-0.2,0.1,-0.6,0.1
1*NGQ24 - 1*NGU24 - 1*NGX25 + 1*NGZ25,,,,,
Spread,Trade,Open,High,Low,Close
1*NGQ24-1*NGU24-1*NGX25+1*NGZ25,Long,0.377,0.45,0.371,0.432
1*NGQ23-1*NGU23-1*NGX24+1*NGZ24,Long,0.384,0.394,0.368,0.377
1*NGQ22-1*NGU22-1*NGX23+1*NGZ23,Long,0.186,0.195,0.171,0.194
1*NGQ21-1*NGU21-1*NGX22+1*NGZ22,Long,0.181,0.193,0.173,0.175
1*NGQ20-1*NGU20-1*NGX21+1*NGZ21,Long,0.19,0.197,0.189,0.196
1*NGQ19-1*NGU19-1*NGX20+1*NGZ20,Long,0.142,0.151,0.14,0.145
1*NGQ18-1*NGU18-1*NGX19+1*NGZ19,Long,0.167,0.172,0.153,0.154
1*NGQ17-1*NGU17-1*NGX18+1*NGZ18,Long,0.162,0.172,0.155,0.171
1*NGQ16-1*NGU16-1*NGX17+1*NGZ17,Long,0.167,0.173,0.161,0.164
1*NGU24 - 1*NGV24 - 1*NGX25 + 1*NGZ25,,,,,
Spread,Trade,Open,High,Low,Close
1*NGU24-1*NGV24-1*NGX25+1*NGZ25,Long,0.274,0.351,0.27,0.324
1*NGU23-1*NGV23-1*NGX24+1*NGZ24,Long,0.32,0.329,0.303,0.305
1*NGU22-1*NGV22-1*NGX23+1*NGZ23,Long,0.145,0.16,0.136,0.151
1*NGU21-1*NGV21-1*NGX22+1*NGZ22,Long,0.149,0.161,0.14,0.141
1*NGU20-1*NGV20-1*NGX21+1*NGZ21,Long,0.154,0.157,0.146,0.153
1*NGU19-1*NGV19-1*NGX20+1*NGZ20,Long,0.108,0.115,0.106,0.11
1*NGU18-1*NGV18-1*NGX19+1*NGZ19,Long,0.124,0.13,0.11,0.111
1*NGU17-1*NGV17-1*NGX18+1*NGZ18,Long,0.12,0.132,0.116,0.13
1*NGU16-1*NGV16-1*NGX17+1*NGZ17,Long,0.132,0.135,0.127,0.13
1*NGV24 - 1*NGX24 - 1*NGV25 + 1*NGX25,,,,,
Spread,Trade,Open,High,Low,Close
1*NGV24-1*NGX24-1*NGV25+1*NGX25,Short,-0.099,-0.09,-0.187,-0.09
1*NGV23-1*NGX23-1*NGV24+1*NGX24,Short,-0.067,0.031,-0.134,0.031
1*NGV22-1*NGX22-1*NGV23+1*NGX23,Short,0.082,0.109,0.069,0.107
1*NGV21-1*NGX21-1*NGV22+1*NGX22,Short,0.015,0.018,-0.011,0.013
1*NGV20-1*NGX20-1*NGV21+1*NGX21,Short,-0.377,-0.185,-0.433,-0.327
1*NGV19-1*NGX19-1*NGV20+1*NGX20,Short,-0.029,0.025,-0.038,0.021
1*NGV18-1*NGX18-1*NGV19+1*NGX19,Short,0.01,0.03,0.002,0.03
1*NGV17-1*NGX17-1*NGV18+1*NGX18,Short,-0.017,-0.01,-0.036,-0.018
1*NGV16-1*NGX16-1*NGV17+1*NGX17,Short,-0.082,-0.061,-0.132,-0.061
