Spread,Trade,Open,High,Low,Close
1*HOJ17-2*HOK17+1*HOM17-1*HOH18+2*HOJ18-1*HOK18,Short,-0.0049,-0.0045,-0.0083,-0.0071
1*HOJ16-2*HOK16+1*HOM16-1*HOH17+2*HOJ17-1*HOK17,Short,-0.001,0.0026,-0.0075,-0.0066
,,,,,
Spread,Trade,Open,High,Low,Close
1*HOM24-2*HON24+1*HOQ24-1*HOH25+2*HOJ25-1*HOK25,Short,-0.0058,-0.0026,-0.0114,-0.0104
1*HOM23-2*HON23+1*HOQ23-1*HOH24+2*HOJ24-1*HOK24,Short,0.0051,0.0051,-0.0122,-0.004
1*HOM22-2*HON22+1*HOQ22-1*HOH23+2*HOJ23-1*HOK23,Short,-0.0041,-0.0039,-0.0071,-0.0065
1*HOM21-2*HON21+1*HOQ21-1*HOH22+2*HOJ22-1*HOK22,Short,-0.005,-0.0043,-0.0105,-0.0103
1*HOM20-2*HON20+1*HOQ20-1*HOH21+2*HOJ21-1*HOK21,Short,-0.0037,-0.0028,-0.0046,-0.0034
1*HOM19-2*HON19+1*HOQ19-1*HOH20+2*HOJ20-1*HOK20,Short,-0.0009,0.0006,-0.0024,0.0006
1*HOM18-2*HON18+1*HOQ18-1*HOH19+2*HOJ19-1*HOK19,Short,-0.0053,-0.0038,-0.0055,-0.0052
1*HOM17-2*HON17+1*HOQ17-1*HOH18+2*HOJ18-1*HOK18,Short,-0.0071,-0.0061,-0.008,-0.007
